Date,Price,Open,High,Low,Vol,Change 
"Sep 02, 2020","2,364.37","2,363.43","2,369.57","2,341.29",1.43B,0.63
"Sep 01, 2020","2,349.55","2,340.19","2,355.90","2,331.23",1.09B,1.01
"Aug 31, 2020","2,326.17","2,377.09","2,381.50","2,326.06",1.65B,-1.17
"Aug 28, 2020","2,353.80","2,362.22","2,379.26","2,345.28",1.30B,0.4
"Aug 27, 2020","2,344.45","2,371.95","2,373.36","2,344.38",913.92M,-1.05
"Aug 26, 2020","2,369.32","2,367.74","2,374.68","2,336.98",956.48M,0.11
"Aug 25, 2020","2,366.73","2,352.15","2,369.78","2,340.97",771.58M,1.58
"Aug 24, 2020","2,329.83","2,309.38","2,332.33","2,283.48",649.28M,1.1
"Aug 21, 2020","2,304.59","2,306.16","2,329.34","2,280.97",865.73M,1.34
"Aug 20, 2020","2,274.22","2,339.91","2,357.08","2,270.85",903.74M,-3.66
"Aug 19, 2020","2,360.54","2,370.87","2,380.10","2,353.17",637.96M,0.52
"Aug 18, 2020","2,348.24","2,405.84","2,419.65","2,336.78",909.75M,-2.46
"Aug 14, 2020","2,407.49","2,427.85","2,435.00","2,383.69",968.12M,-1.23
"Aug 13, 2020","2,437.53","2,455.28","2,458.17","2,412.49",907.22M,0.21
"Aug 12, 2020","2,432.35","2,414.78","2,432.35","2,393.27",763.73M,0.57
"Aug 11, 2020","2,418.67","2,396.11","2,429.36","2,396.11",843.44M,1.35
"Aug 10, 2020","2,386.38","2,353.92","2,390.51","2,349.33",784.62M,1.48
"Aug 07, 2020","2,351.67","2,349.25","2,362.24","2,333.62",812.59M,0.39
"Aug 06, 2020","2,342.61","2,322.64","2,352.48","2,322.64",797.15M,1.33
"Aug 05, 2020","2,311.86","2,289.23","2,312.14","2,283.95",841.30M,1.4
"Aug 04, 2020","2,279.97","2,272.33","2,284.66","2,269.69",722.91M,1.29
"Aug 03, 2020","2,251.04","2,251.65","2,254.38","2,237.04",648.46M,0.07
"Jul 31, 2020","2,249.37","2,278.53","2,281.41","2,248.49",739.69M,-0.78
"Jul 30, 2020","2,267.01","2,275.33","2,281.33","2,263.81",713.04M,0.17
"Jul 29, 2020","2,263.16","2,258.35","2,276.79","2,252.24",899.49M,0.27
"Jul 28, 2020","2,256.99","2,238.19","2,266.00","2,237.21",866.72M,1.76
"Jul 27, 2020","2,217.86","2,203.48","2,231.25","2,203.48",928.62M,0.79
"Jul 24, 2020","2,200.44","2,196.73","2,219.57","2,195.49",1.00B,-0.71
"Jul 23, 2020","2,216.19","2,227.24","2,227.24","2,202.99",934.54M,-0.56
"Jul 22, 2020","2,228.66","2,228.20","2,238.86","2,221.62",856.22M,-0.01
"Jul 21, 2020","2,228.83","2,219.19","2,234.86","2,214.28",918.48M,1.39
